from_airport,from_city,from_country,from_long,from_lat,to_airport,to_city,to_country,to_long,to_lat,airline,airline_country,distance
Balandino,Chelyabinsk,Russia,61.838,55.509,Domododevo,Moscow,Russia,38.51,55.681,Aerocondor,Portugal,1458
Balandino,Chelyabinsk,Russia,61.838,55.509,Kazan,Kazan,Russia,49.464,56.01,Aerocondor,Portugal,775
Balandino,Chelyabinsk,Russia,61.838,55.509,Tolmachevo,Novosibirsk,Russia,83.084,55.021,Aerocondor,Portugal,1341
Domododevo,Moscow,Russia,38.51,55.681,Balandino,Chelyabinsk,Russia,61.838,55.509,Aerocondor,Portugal,1458
Domododevo,Moscow,Russia,38.51,55.681,Khrabrovo,Kaliningrad,Russia,20.987,55.483,Aerocondor,Portugal,1098
Domododevo,Moscow,Russia,38.51,55.681,Kazan,Kazan,Russia,49.464,56.01,Aerocondor,Portugal,684
Domododevo,Moscow,Russia,38.51,55.681,Beaufort Mcas,Beaufort,United States,-80.539,32.795,Aerocondor,Portugal,8612
Domododevo,Moscow,Russia,38.51,55.681,Penza Airport,Penza,Russia,45.035,53.184,Aerocondor,Portugal,504
Domododevo,Moscow,Russia,38.51,55.681,Bugulma Airport,Bugulma,Russia,53.336,55.066,Aerocondor,Portugal,937
Heydar Aliyev,Baku,Azerbaijan,50.077,40.779,Beaufort Mcas,Beaufort,United States,-80.539,32.795,Aerocondor,Portugal,10393
Khrabrovo,Kaliningrad,Russia,20.987,55.483,Domododevo,Moscow,Russia,38.51,55.681,Aerocondor,Portugal,1098
Kazan,Kazan,Russia,49.464,56.01,Balandino,Chelyabinsk,Russia,61.838,55.509,Aerocondor,Portugal,775
Kazan,Kazan,Russia,49.464,56.01,Domododevo,Moscow,Russia,38.51,55.681,Aerocondor,Portugal,684
Kazan,Kazan,Russia,49.464,56.01,Pulkovo,St. Petersburg,Russia,30.437,60.333,Aerocondor,Portugal,1209
Kazan,Kazan,Russia,49.464,56.01,Franz Josef Strauss,Munich,Germany,12.31,48.589,Aerocondor,Portugal,2621
Kazan,Kazan,Russia,49.464,56.01,Bugulma Airport,Bugulma,Russia,53.336,55.066,Aerocondor,Portugal,265
Pulkovo,St. Petersburg,Russia,30.437,60.333,Kazan,Kazan,Russia,49.464,56.01,Aerocondor,Portugal,1209
Pulkovo,St. Petersburg,Russia,30.437,60.333,Beaufort Mcas,Beaufort,United States,-80.539,32.795,Aerocondor,Portugal,7920
Pulkovo,St. Petersburg,Russia,30.437,60.333,Bugulma Airport,Bugulma,Russia,53.336,55.066,Aerocondor,Portugal,1471
Franz Josef Strauss,Munich,Germany,12.31,48.589,Kazan,Kazan,Russia,49.464,56.01,Aerocondor,Portugal,2621
Beaufort Mcas,Beaufort,United States,-80.539,32.795,Domododevo,Moscow,Russia,38.51,55.681,Aerocondor,Portugal,8612
Beaufort Mcas,Beaufort,United States,-80.539,32.795,Heydar Aliyev,Baku,Azerbaijan,50.077,40.779,Aerocondor,Portugal,10393
Beaufort Mcas,Beaufort,United States,-80.539,32.795,Pulkovo,St. Petersburg,Russia,30.437,60.333,Aerocondor,Portugal,7920
Nizhnevartovsk,Nizhnevartovsk,Russia,76.806,61.582,Bugulma Airport,Bugulma,Russia,53.336,55.066,Aerocondor,Portugal,1538
Tolmachevo,Novosibirsk,Russia,83.084,55.021,Balandino,Chelyabinsk,Russia,61.838,55.509,Aerocondor,Portugal,1341
Penza Airport,Penza,Russia,45.035,53.184,Domododevo,Moscow,Russia,38.51,55.681,Aerocondor,Portugal,504
Bugulma Airport,Bugulma,Russia,53.336,55.066,Domododevo,Moscow,Russia,38.51,55.681,Aerocondor,Portugal,937
Bugulma Airport,Bugulma,Russia,53.336,55.066,Kazan,Kazan,Russia,49.464,56.01,Aerocondor,Portugal,265
Bugulma Airport,Bugulma,Russia,53.336,55.066,Pulkovo,St. Petersburg,Russia,30.437,60.333,Aerocondor,Portugal,1471
Bugulma Airport,Bugulma,Russia,53.336,55.066,Nizhnevartovsk,Nizhnevartovsk,Russia,76.806,61.582,Aerocondor,Portugal,1538
Andahuaylas,Andahuaylas,Peru,-72.918,-13.511,Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Star Peru (2I),Peru,458
Rodriguez Ballon,Arequipa,Peru,-71.306,-15.902,Juliaca,Juliaca,Peru,-69.597,-15.112,Star Peru (2I),Peru,203
Rodriguez Ballon,Arequipa,Peru,-71.306,-15.902,Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Star Peru (2I),Peru,756
Coronel Fap Alfredo Mendivil Duarte,Ayacucho,Peru,-73.675,-12.592,Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Star Peru (2I),Peru,338
Teniente Alejandro Velasco Astete Intl,Cuzco,Peru,-71.898,-13.227,Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Star Peru (2I),Peru,543
Teniente Alejandro Velasco Astete Intl,Cuzco,Peru,-71.898,-13.227,Padre Aldamiz,Puerto Maldonado,Peru,-68.715,-12.357,Star Peru (2I),Peru,358
Alferez Fap David Figueroa Fernandini Airport,Huánuco,Peru,-75.675,-9.799,Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Star Peru (2I),Peru,197
Coronel Francisco Secada Vignetta Intl,Iquitos,Peru,-72.849,-3.642,Cap Fap David Abenzur Rengifo Intl,Pucallpa,Peru,-74.291,-7.964,Star Peru (2I),Peru,506
Coronel Francisco Secada Vignetta Intl,Iquitos,Peru,-72.849,-3.642,Cadete Guillermo Del Castillo Paredes,Tarapoto,Peru,-75.956,-6.182,Star Peru (2I),Peru,445
Juliaca,Juliaca,Peru,-69.597,-15.112,Rodriguez Ballon,Arequipa,Peru,-71.306,-15.902,Star Peru (2I),Peru,203
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Andahuaylas,Andahuaylas,Peru,-72.918,-13.511,Star Peru (2I),Peru,458
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Rodriguez Ballon,Arequipa,Peru,-71.306,-15.902,Star Peru (2I),Peru,756
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Coronel Fap Alfredo Mendivil Duarte,Ayacucho,Peru,-73.675,-12.592,Star Peru (2I),Peru,338
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Teniente Alejandro Velasco Astete Intl,Cuzco,Peru,-71.898,-13.227,Star Peru (2I),Peru,543
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Alferez Fap David Figueroa Fernandini Airport,Huánuco,Peru,-75.675,-9.799,Star Peru (2I),Peru,197
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Cap Fap David Abenzur Rengifo Intl,Pucallpa,Peru,-74.291,-7.964,Star Peru (2I),Peru,450
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Pedro Canga,Tumbes,Peru,-79.969,-3.255,Star Peru (2I),Peru,979
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Cadete Guillermo Del Castillo Paredes,Tarapoto,Peru,-75.956,-6.182,Star Peru (2I),Peru,580
Cap Fap David Abenzur Rengifo Intl,Pucallpa,Peru,-74.291,-7.964,Coronel Francisco Secada Vignetta Intl,Iquitos,Peru,-72.849,-3.642,Star Peru (2I),Peru,506
Cap Fap David Abenzur Rengifo Intl,Pucallpa,Peru,-74.291,-7.964,Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Star Peru (2I),Peru,450
Cap Fap David Abenzur Rengifo Intl,Pucallpa,Peru,-74.291,-7.964,Cadete Guillermo Del Castillo Paredes,Tarapoto,Peru,-75.956,-6.182,Star Peru (2I),Peru,270
Padre Aldamiz,Puerto Maldonado,Peru,-68.715,-12.357,Teniente Alejandro Velasco Astete Intl,Cuzco,Peru,-71.898,-13.227,Star Peru (2I),Peru,358
Pedro Canga,Tumbes,Peru,-79.969,-3.255,Capitan Montes,Talara,Peru,-80.757,-4.295,Star Peru (2I),Peru,144
Cadete Guillermo Del Castillo Paredes,Tarapoto,Peru,-75.956,-6.182,Coronel Francisco Secada Vignetta Intl,Iquitos,Peru,-72.849,-3.642,Star Peru (2I),Peru,445
Cadete Guillermo Del Castillo Paredes,Tarapoto,Peru,-75.956,-6.182,Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Star Peru (2I),Peru,580
Cadete Guillermo Del Castillo Paredes,Tarapoto,Peru,-75.956,-6.182,Cap Fap David Abenzur Rengifo Intl,Pucallpa,Peru,-74.291,-7.964,Star Peru (2I),Peru,270
Capitan Montes,Talara,Peru,-80.757,-4.295,Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Star Peru (2I),Peru,914
Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,-3.878,5.435,Bobo Dioulasso,Bobo-dioulasso,Burkina Faso,-3.885,11.266,Air Burkina,Burkina Faso,648
Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,-3.878,5.435,Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Air Burkina,Burkina Faso,848
Kotoka Intl,Accra,Ghana,0.388,6.008,Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Air Burkina,Burkina Faso,751
Senou,Bamako,Mali,-7.917,12.889,Leopold Sedar Senghor Intl,Dakar,Senegal,-17.151,15.232,Air Burkina,Burkina Faso,1029
Senou,Bamako,Mali,-7.917,12.889,Orly,Paris,France,2.599,49.208,Air Burkina,Burkina Faso,4152
Senou,Bamako,Mali,-7.917,12.889,Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Air Burkina,Burkina Faso,730
Bobo Dioulasso,Bobo-dioulasso,Burkina Faso,-3.885,11.266,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,-3.878,5.435,Air Burkina,Burkina Faso,648
Bobo Dioulasso,Bobo-dioulasso,Burkina Faso,-3.885,11.266,Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Air Burkina,Burkina Faso,328
Cadjehoun,Cotonou,Benin,2.64,6.595,Douala,Douala,Cameroon,10.199,4.01,Air Burkina,Burkina Faso,884
Cadjehoun,Cotonou,Benin,2.64,6.595,Leon M Ba,Libreville,Gabon,9.687,0.764,Air Burkina,Burkina Faso,1015
Cadjehoun,Cotonou,Benin,2.64,6.595,Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Air Burkina,Burkina Faso,787
Leopold Sedar Senghor Intl,Dakar,Senegal,-17.151,15.232,Senou,Bamako,Mali,-7.917,12.889,Air Burkina,Burkina Faso,1029
Leopold Sedar Senghor Intl,Dakar,Senegal,-17.151,15.232,Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Air Burkina,Burkina Faso,1747
Douala,Douala,Cameroon,10.199,4.01,Cadjehoun,Cotonou,Benin,2.64,6.595,Air Burkina,Burkina Faso,884
Leon M Ba,Libreville,Gabon,9.687,0.764,Cadjehoun,Cotonou,Benin,2.64,6.595,Air Burkina,Burkina Faso,1015
Gnassingbe Eyadema Intl,Lome,Togo,1.424,6.276,Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Air Burkina,Burkina Faso,758
Diori Hamani,Niamey,Niger,2.306,13.802,Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Air Burkina,Burkina Faso,401
Orly,Paris,France,2.599,49.208,Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Air Burkina,Burkina Faso,4086
Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,-3.878,5.435,Air Burkina,Burkina Faso,848
Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Kotoka Intl,Accra,Ghana,0.388,6.008,Air Burkina,Burkina Faso,751
Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Senou,Bamako,Mali,-7.917,12.889,Air Burkina,Burkina Faso,730
Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Bobo Dioulasso,Bobo-dioulasso,Burkina Faso,-3.885,11.266,Air Burkina,Burkina Faso,328
Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Cadjehoun,Cotonou,Benin,2.64,6.595,Air Burkina,Burkina Faso,787
Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Leopold Sedar Senghor Intl,Dakar,Senegal,-17.151,15.232,Air Burkina,Burkina Faso,1747
Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Gnassingbe Eyadema Intl,Lome,Togo,1.424,6.276,Air Burkina,Burkina Faso,758
Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Diori Hamani,Niamey,Niger,2.306,13.802,Air Burkina,Burkina Faso,401
Eldorado Intl,Bogota,Colombia,-73.579,5.169,Mariscal Sucre Intl,Quito,Ecuador,-78.148,0.431,Aerolineas Galapagos (Aerogal),Ecuador,731
Mariscal Lamar,Cuenca,Ecuador,-78.974,-2.816,Jose Joaquin De Olmedo Intl,Guayaquil,Ecuador,-79.806,-1.596,Aerolineas Galapagos (Aerogal),Ecuador,164
Mariscal Lamar,Cuenca,Ecuador,-78.974,-2.816,Mariscal Sucre Intl,Quito,Ecuador,-78.148,0.431,Aerolineas Galapagos (Aerogal),Ecuador,372
Seymour,Galapagos,Ecuador,-89.777,-0.09,Jose Joaquin De Olmedo Intl,Guayaquil,Ecuador,-79.806,-1.596,Aerolineas Galapagos (Aerogal),Ecuador,1121
Seymour,Galapagos,Ecuador,-89.777,-0.09,Mariscal Sucre Intl,Quito,Ecuador,-78.148,0.431,Aerolineas Galapagos (Aerogal),Ecuador,1294
Jose Joaquin De Olmedo Intl,Guayaquil,Ecuador,-79.806,-1.596,Mariscal Lamar,Cuenca,Ecuador,-78.974,-2.816,Aerolineas Galapagos (Aerogal),Ecuador,164
Jose Joaquin De Olmedo Intl,Guayaquil,Ecuador,-79.806,-1.596,Seymour,Galapagos,Ecuador,-89.777,-0.09,Aerolineas Galapagos (Aerogal),Ecuador,1121
Jose Joaquin De Olmedo Intl,Guayaquil,Ecuador,-79.806,-1.596,John F Kennedy Intl,New York,United States,-73.632,41.066,Aerolineas Galapagos (Aerogal),Ecuador,4784
Jose Joaquin De Olmedo Intl,Guayaquil,Ecuador,-79.806,-1.596,Mariscal Sucre Intl,Quito,Ecuador,-78.148,0.431,Aerolineas Galapagos (Aerogal),Ecuador,291
John F Kennedy Intl,New York,United States,-73.632,41.066,Jose Joaquin De Olmedo Intl,Guayaquil,Ecuador,-79.806,-1.596,Aerolineas Galapagos (Aerogal),Ecuador,4784
Eloy Alfaro Intl,Manta,Ecuador,-80.465,-0.911,Mariscal Sucre Intl,Quito,Ecuador,-78.148,0.431,Aerolineas Galapagos (Aerogal),Ecuador,297
Mariscal Sucre Intl,Quito,Ecuador,-78.148,0.431,Eldorado Intl,Bogota,Colombia,-73.579,5.169,Aerolineas Galapagos (Aerogal),Ecuador,731
Mariscal Sucre Intl,Quito,Ecuador,-78.148,0.431,Mariscal Lamar,Cuenca,Ecuador,-78.974,-2.816,Aerolineas Galapagos (Aerogal),Ecuador,372
Mariscal Sucre Intl,Quito,Ecuador,-78.148,0.431,Jose Joaquin De Olmedo Intl,Guayaquil,Ecuador,-79.806,-1.596,Aerolineas Galapagos (Aerogal),Ecuador,291
Mariscal Sucre Intl,Quito,Ecuador,-78.148,0.431,Eloy Alfaro Intl,Manta,Ecuador,-80.465,-0.911,Aerolineas Galapagos (Aerogal),Ecuador,297
Bari,Bari,Italy,17.267,41.231,Zurich,Zurich,Switzerland,8.915,47.774,Helvetic Airways,Switzerland,982
Bristol,Bristol,United Kingdom,-2.532,51.637,Zurich,Zurich,Switzerland,8.915,47.774,Helvetic Airways,Switzerland,927
Zurich,Zurich,Switzerland,8.915,47.774,Bari,Bari,Italy,17.267,41.231,Helvetic Airways,Switzerland,982
Zurich,Zurich,Switzerland,8.915,47.774,Bristol,Bristol,United Kingdom,-2.532,51.637,Helvetic Airways,Switzerland,927
Ferihegy,Budapest,Hungary,19.425,47.728,Chisinau Intl,Kichinau Fir/acc/com,Moldova,29.551,47.546,Moldavian Airlines,Moldova,758
Chisinau Intl,Kichinau Fir/acc/com,Moldova,29.551,47.546,Ferihegy,Budapest,Hungary,19.425,47.728,Moldavian Airlines,Moldova,758
Chisinau Intl,Kichinau Fir/acc/com,Moldova,29.551,47.546,Sabiha Gokcen,Istanbul,Turkey,29.515,41.497,Moldavian Airlines,Moldova,672
Chisinau Intl,Kichinau Fir/acc/com,Moldova,29.551,47.546,Traian Vuia,Timisoara,Romania,21.563,46.349,Moldavian Airlines,Moldova,620
Sabiha Gokcen,Istanbul,Turkey,29.515,41.497,Chisinau Intl,Kichinau Fir/acc/com,Moldova,29.551,47.546,Moldavian Airlines,Moldova,672
Traian Vuia,Timisoara,Romania,21.563,46.349,Chisinau Intl,Kichinau Fir/acc/com,Moldova,29.551,47.546,Moldavian Airlines,Moldova,620
Arvidsjaur,Arvidsjaur,Sweden,19.469,65.983,Arlanda,Stockholm,Sweden,18.531,60.086,Yuzhmashavia,Ukraine,657
Arvidsjaur,Arvidsjaur,Sweden,19.469,65.983,Lycksele,Lycksele,Sweden,19.193,64.913,Yuzhmashavia,Ukraine,119
Arlanda,Stockholm,Sweden,18.531,60.086,Arvidsjaur,Arvidsjaur,Sweden,19.469,65.983,Yuzhmashavia,Ukraine,657
Arlanda,Stockholm,Sweden,18.531,60.086,Gallivare,Gallivare,Sweden,21.357,67.22,Yuzhmashavia,Ukraine,805
Arlanda,Stockholm,Sweden,18.531,60.086,Kramfors Solleftea,Kramfors,Sweden,18.281,63.08,Yuzhmashavia,Ukraine,333
Arlanda,Stockholm,Sweden,18.531,60.086,Lycksele,Lycksele,Sweden,19.193,64.913,Yuzhmashavia,Ukraine,537
Arlanda,Stockholm,Sweden,18.531,60.086,Mariehamn,Mariehamn,Finland,20.496,60.203,Yuzhmashavia,Ukraine,109
Arlanda,Stockholm,Sweden,18.531,60.086,Visby,Visby,Sweden,18.577,58.104,Yuzhmashavia,Ukraine,220
Arlanda,Stockholm,Sweden,18.531,60.086,Vilhelmina,Vilhelmina,Sweden,17.389,64.965,Yuzhmashavia,Ukraine,545
Bromma,Stockholm,Sweden,18.569,59.59,Östersund Airport,Östersund,Sweden,14.833,63.324,Yuzhmashavia,Ukraine,459
Kastrup,Copenhagen,Denmark,13.093,56.029,Saab,Linkoeping,Sweden,16.134,58.676,Yuzhmashavia,Ukraine,346
Gallivare,Gallivare,Sweden,21.357,67.22,Arlanda,Stockholm,Sweden,18.531,60.086,Yuzhmashavia,Ukraine,805
Gallivare,Gallivare,Sweden,21.357,67.22,Kramfors Solleftea,Kramfors,Sweden,18.281,63.08,Yuzhmashavia,Ukraine,482
Helsinki Vantaa,Helsinki,Finland,25.605,60.528,Mariehamn,Mariehamn,Finland,20.496,60.203,Yuzhmashavia,Ukraine,283
Hemavan Airport,Hemavan,Sweden,15.137,66.343,Vilhelmina,Vilhelmina,Sweden,17.389,64.965,Yuzhmashavia,Ukraine,184
Kramfors Solleftea,Kramfors,Sweden,18.281,63.08,Arlanda,Stockholm,Sweden,18.531,60.086,Yuzhmashavia,Ukraine,333
Kramfors Solleftea,Kramfors,Sweden,18.281,63.08,Gallivare,Gallivare,Sweden,21.357,67.22,Yuzhmashavia,Ukraine,482
Saab,Linkoeping,Sweden,16.134,58.676,Kastrup,Copenhagen,Denmark,13.093,56.029,Yuzhmashavia,Ukraine,346
Saab,Linkoeping,Sweden,16.134,58.676,Orebro,Orebro,Sweden,15.063,59.372,Yuzhmashavia,Ukraine,98
Lycksele,Lycksele,Sweden,19.193,64.913,Arvidsjaur,Arvidsjaur,Sweden,19.469,65.983,Yuzhmashavia,Ukraine,119
Lycksele,Lycksele,Sweden,19.193,64.913,Arlanda,Stockholm,Sweden,18.531,60.086,Yuzhmashavia,Ukraine,537
Mariehamn,Mariehamn,Finland,20.496,60.203,Arlanda,Stockholm,Sweden,18.531,60.086,Yuzhmashavia,Ukraine,109
Mariehamn,Mariehamn,Finland,20.496,60.203,Helsinki Vantaa,Helsinki,Finland,25.605,60.528,Yuzhmashavia,Ukraine,283
Orebro,Orebro,Sweden,15.063,59.372,Saab,Linkoeping,Sweden,16.134,58.676,Yuzhmashavia,Ukraine,98
Östersund Airport,Östersund,Sweden,14.833,63.324,Bromma,Stockholm,Sweden,18.569,59.59,Yuzhmashavia,Ukraine,459
Visby,Visby,Sweden,18.577,58.104,Arlanda,Stockholm,Sweden,18.531,60.086,Yuzhmashavia,Ukraine,220
Vilhelmina,Vilhelmina,Sweden,17.389,64.965,Arlanda,Stockholm,Sweden,18.531,60.086,Yuzhmashavia,Ukraine,545
Vilhelmina,Vilhelmina,Sweden,17.389,64.965,Hemavan Airport,Hemavan,Sweden,15.137,66.343,Yuzhmashavia,Ukraine,184
Kodiak,Kodiak,United States,-152.157,58.249,Amook Bay Seaplane Base,Amook Bay,United States,-153.693,57.785,Air Salone,Sierra Leone,104
Kodiak,Kodiak,United States,-152.157,58.249,Kitoi Bay Seaplane Base,Kitoi Bay,United States,-151.951,58.318,Air Salone,Sierra Leone,14
Kodiak,Kodiak,United States,-152.157,58.249,Larsen Bay Airport,Larsen Bay,United States,-153.962,57.891,Air Salone,Sierra Leone,113
Kodiak,Kodiak,United States,-152.157,58.249,Ouzinkie Airport,Ouzinkie,United States,-152.168,58.538,Air Salone,Sierra Leone,32
Kodiak,Kodiak,United States,-152.157,58.249,Old Harbor Airport,Old Harbor,United States,-152.783,57.363,Air Salone,Sierra Leone,105
Amook Bay Seaplane Base,Amook Bay,United States,-153.693,57.785,Zachar Bay Seaplane Base,Zachar Bay,United States,-153.584,57.916,Air Salone,Sierra Leone,15
Kitoi Bay Seaplane Base,Kitoi Bay,United States,-151.951,58.318,Seal Bay Seaplane Base,Seal Bay,United States,-152.167,58.277,Air Salone,Sierra Leone,13
Larsen Bay Airport,Larsen Bay,United States,-153.962,57.891,Karuluk Airport,Karluk,United States,-154.084,57.944,Air Salone,Sierra Leone,9
Ouzinkie Airport,Ouzinkie,United States,-152.168,58.538,Port Lions Airport,Port Lions,United States,-152.744,58.475,Air Salone,Sierra Leone,34
Seal Bay Seaplane Base,Seal Bay,United States,-152.167,58.277,Port Williams Seaplane Base,Port Williams,United States,-152.304,58.816,Air Salone,Sierra Leone,60
Bacolod,Bacolod,Philippines,123.549,11.07,Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Air Philippines,Philippines,133
Bacolod,Bacolod,Philippines,123.549,11.07,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,500
Baiyun Intl,Guangzhou,China,113.497,23.654,Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Air Philippines,Philippines,1878
Cotabato,Cotabato,Philippines,124.349,7.275,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,916
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Bacolod,Bacolod,Philippines,123.549,11.07,Air Philippines,Philippines,133
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Baiyun Intl,Guangzhou,China,113.497,23.654,Air Philippines,Philippines,1878
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Cagayan De Oro,Ladag,Philippines,125.018,8.692,Air Philippines,Philippines,206
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Francisco Bangoy International,Davao,Philippines,126.076,7.209,Air Philippines,Philippines,400
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Hong Kong Intl,Hong Kong,Hong Kong,114.524,22.514,Air Philippines,Philippines,1713
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Iloilo,Iloilo,Philippines,122.908,11.188,Air Philippines,Philippines,202
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,620
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Godofredo P,Caticlan,Philippines,122.588,12.535,Air Philippines,Philippines,316
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Ozamis,Ozamis,Philippines,124.402,8.297,Air Philippines,Philippines,247
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Daniel Z Romualdez,Tacloban,Philippines,125.046,11.379,Air Philippines,Philippines,106
Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Zamboanga Intl,Zamboanga,Philippines,122.099,7.537,Air Philippines,Philippines,432
Cagayan De Oro,Ladag,Philippines,125.018,8.692,Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Air Philippines,Philippines,206
Cagayan De Oro,Ladag,Philippines,125.018,8.692,Francisco Bangoy International,Davao,Philippines,126.076,7.209,Air Philippines,Philippines,201
Cagayan De Oro,Ladag,Philippines,125.018,8.692,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,810
Catarman National Airport,Catarman,Philippines,125.059,12.837,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,488
Calbayog Airport,Calbayog City,Philippines,124.908,12.121,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,517
Francisco Bangoy International,Davao,Philippines,126.076,7.209,Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Air Philippines,Philippines,400
Francisco Bangoy International,Davao,Philippines,126.076,7.209,Cagayan De Oro,Ladag,Philippines,125.018,8.692,Air Philippines,Philippines,201
Francisco Bangoy International,Davao,Philippines,126.076,7.209,Iloilo,Iloilo,Philippines,122.908,11.188,Air Philippines,Philippines,562
Francisco Bangoy International,Davao,Philippines,126.076,7.209,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,1011
Francisco Bangoy International,Davao,Philippines,126.076,7.209,Zamboanga Intl,Zamboanga,Philippines,122.099,7.537,Air Philippines,Philippines,440
General Santos International Airport,General Santos City,Philippines,125.392,6.177,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,1075
Xiaoshan,Hangzhou,China,120.724,30.382,Kalibo,Kalibo,Philippines,122.627,12.132,Air Philippines,Philippines,2038
Hong Kong Intl,Hong Kong,Hong Kong,114.524,22.514,Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Air Philippines,Philippines,1713
Iloilo,Iloilo,Philippines,122.908,11.188,Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Air Philippines,Philippines,202
Iloilo,Iloilo,Philippines,122.908,11.188,Francisco Bangoy International,Davao,Philippines,126.076,7.209,Air Philippines,Philippines,562
Iloilo,Iloilo,Philippines,122.908,11.188,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,454
Jolo Airport,Jolo Airport,Philippines,121.018,6.089,Zamboanga Intl,Zamboanga,Philippines,122.099,7.537,Air Philippines,Philippines,200
Kalibo,Kalibo,Philippines,122.627,12.132,Xiaoshan,Hangzhou,China,120.724,30.382,Air Philippines,Philippines,2038
Kalibo,Kalibo,Philippines,122.627,12.132,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,347
Kalibo,Kalibo,Philippines,122.627,12.132,Capital Intl,Beijing,China,116.974,40.133,Air Philippines,Philippines,3162
Kalibo,Kalibo,Philippines,122.627,12.132,Pudong,Shanghai,China,122.342,31.238,Air Philippines,Philippines,2124
Laoag Intl,Laoag,Philippines,120.885,18.296,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,383
Legazpi,Legazpi,Philippines,124.243,13.261,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,388
Masbate Airport,Masbate,Philippines,124.048,12.615,Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Air Philippines,Philippines,409
