"cti".1	"mp.name"
9983.1	"MEDICHROM ALCOOLIQUE"
9992.1	"MEDICHROM AQUEUX"
10017.1	"APORIL"
10114.1	"MOPSORALEN (L.N:MELADININE)"
10412.1	"OLIGOSOL POTASSIUM"
10421.1	"OLIGOSOL PHOSPHORE"
10446.1	"OLIGOSOL MANGANESE-CUIVRE-COBALT"
10455.1	"OLIGOSOL MANGANESE-CUIVRE"
10464.1	"OLIGOSOL MANGANESE-COBALT"
10473.1	"OLIGOSOL MANGANESE"
10482.1	"OLIGOSOL MAGNESIUM"
10491.1	"OLIGOSOL LITHIUM"
10507.1	"OLIGOSOL IODE"
10516.1	"OLIGOSOL FLUOR"
10534.1	"OLIGOSOL ZINC"
10543.1	"OLIGOSOL SOUFRE  ( OLD NAME : GAMMASOL )"
10552.1	"OLIGOSOL ZINC-NIKEL-COBALT"
49086.1	"PYRIDOXINE LABAZ 250 MG"
49156.1	"KENACORT-A 10"
50093.1	"PENSTAPHO INJECTION 1 G"
50136.1	"PENTREXYL 250 MG"
50154.1	"PENTREXYL 1 G"
50425.1	"PENTREXYL 2 G"
39627.1	"MICROPAQUE"
39846.1	"PHOLCO-MEREPRINE"
40381.1	"YOMESAN"
40844.1	"ASPIRINE-C"
41307.1	"ASPIRINE 500"
42077.1	"URALYT-U"
42201.1	"ASPEGIC INJ."
42287.1	"ASPEGIC 500"
42357.1	"PHOSPHOLINE IODIDE 0
43014.1	"BAUME DALET"
43181.1	"FORTAL 50MG"
10561.1	"OLIGOSOL ZINC CUIVRE"
10577.1	"OLIGOSOL CUIVRE"
10586.1	"OLIGOSOL COBALT"
10805.1	"EUGLUCON"
10902.1	"DECA-DURABOLIN  25 MG/ML"
11216.1	"ORGAMETRIL"
11313.1	"DECA-DURABOLIN 25MG/ML"
11541.1	"PREGNYL   1500 UI"
11557.1	"PREGNYL    5000 UI"
12686.1	"AACIFEMINE 2MG"
12704.1	"SUSTANON 250"
13535.1	"FLEET ENEMA 11G/24G"
13562.1	"FLEET-ENEMA PEDIATRIC 5G/12G"
13587.1	"HEPARINE LEO 5000 UI/ML"
13641.1	"FUCIDIN INTERTULLE 2 %"
14357.1	"NOSCAFLEX EXPECTORANS EX NOSCAFLEX"
14436.1	"BETAMINE 500MG"
14515.1	"MANIPREX 250 MG"
14542.1	"CETAMINE"
14682.1	"FUCIDIN 2 %"
15136.1	"BETAPYR 237
15337.1	"FLUANXOL DEPOT 20MG/ML"
15346.1	"NORTRILEN 25 MG"
15391.1	"FLUANXOL DEPOT 20MG/ML"
15495.1	"DEANXIT"
15601.1	"FLUANXOL 1MG"
15687.1	"EUCALYPTINE PHOLCODINE"
15696.1	"EUCALYPTINE PHOLCODINE"
15854.1	"PASTILLES VALDA"
15915.1	"MINIDIAB"
15924.1	"PURGO-PIL 10 MG"
15933.1	"EAU DES CARMES BOYER"
16037.1	"TETRALYSAL 300MG"
16256.1	"CERULYX"
16484.1	"NORMACOL 62%"
16597.1	"CARBOBEL"
16633.1	"CARBOBEL"
16694.1	"LACTA-GYNECOGEL"
17096.1	"MERCUROCHROME HYDROACETONIQUE"
17114.1	"MERCUROCHROME (THERAPEUTICA-PCB)"
17166.1	"MICTASOL"
17193.1	"NAXOGIN  250 MG"
17211.1	"BLEU PATENTE V GUERBET"
17227.1	"AETHOXYSKLEROL 0
17351.1	"AETHOXYSKLEROL 2%"
17367.1	"AETHOXYSKLEROL 1%"
17376.1	"AETHOXYSKLEROL 3%"
17437.1	"TELEBRIX 30 MEGLUMINE"
17446.1	"TELEBRIX 30 MEGLUMINE"
17613.1	"LIPIODOL ULTRA FLUIDE
18103.1	"MAREVAN"
18322.1	"VETHOINE"
18514.1	"JOUVENCE DE L'ABBE SOURY"
18523.1	"JOUVENCE DE L'ABBE SOURY"
18724.1	"GABBRORAL 250 MG"
20921.1	"EFFORTIL 5 MG"
20946.1	"EFFORTIL"
20982.1	"DULCOLAX BISACODYL"
20991.1	"VISADRON  0
21025.1	"DULCOLAX BISACODYL"
21174.1	"BUSCOPAN"
21183.1	"BUSCOPAN"
21192.1	"BUSCOPAN"
21201.1	"BUSCOPAN COMPOSITUM"
21305.1	"BISOLVON"
21341.1	"PERSANTINE 75 MG"
21357.1	"CATAPRESSAN"
21393.1	"LAXOBERON"
21402.1	"CATAPRESSAN"
21804.1	"TISANE DU DR ERNST NO 1"
21813.1	"TISANE DU DR ERNST NO 2"
21822.1	"TISANE DU DR ERNST NO 3"
21831.1	"TISANE DU DR ERNST NO 4"
21847.1	"TISANE DU DR ERNST NO 5"
21856.1	"TISANE DU DR ERNST NO 6"
21865.1	"TISANE DU DR ERNST NO 7"
21874.1	"TISANE DU DR ERNST NO 8"
21883.1	"TISANE DU DR ERNST NO 9"
21892.1	"TISANE DU DR ERNST NO 10"
21901.1	"TISANE DU DR ERNST NO 11"
21917.1	"TISANE DU DR ERNST NO 12"
21926.1	"TISANE DU DR ERNST NO 13"
21944.1	"TISANE DU DR ERNST NO 15"
21953.1	"TISANE DU DR ERNST NO 16"
21962.1	"TISANE DU DR ERNST NO 17"
21971.1	"TISANE DU DR ERNST N0 18"
21987.1	"TISANE DU DR ERNST NO 19"
21996.1	"TISANE DU DR ERNST N0 20"
22005.1	"TISANE DU DR ERNST N0 21"
22014.1	"TISANE DU DR ERNST N0 22"
22023.1	"TISANE DU DR ERNST NO 23"
22032.1	"TISANE DU DR ERNST N0 24"
22041.1	"TISANE DU DR ERNST N0 25"
22057.1	"TISANE DU DR ERNST NO 26"
22066.1	"TISANE DU DR ERNST NO 27"
22075.1	"TISANE DU DR ERNST N0 28"
22084.1	"TISANE DU DR ERNST N0 29"
22145.1	"TISANE DU DR ERNST N0 30"
22233.1	"TEMESTA"
22242.1	"TEMESTA 1 MG"
22373.1	"PROPYLTHIOURACILE 50 MG"
22382.1	"MUTHESA"
22696.1	"MUTHESA (LN:MUTHESA WYETH)"
22705.1	"ISOPTO FENICOL 0
22775.1	"LANSOYL PARAFFINE"
22924.1	"WYLAXINE 120 MG (LN:WYLAXINE WYETH)"
23046.1	"MAGNESIE PLUS  (EX   MAGNESIE BISMUREE)"
23983.1	"GAMMADYN ZINC-NICKEL-COBALT"
23992.1	"GAMMADYN NICKEL-COBALT"
24001.1	"GAMMADYN ZINC"
24017.1	"ASPASMOL"
24026.1	"GAMMADYN ZINC-CUIVRE"
24062.1	"CHLORASEPTINE"
24087.1	"CHLORONGUENT"
24376.1	"SEDINAL (LAST NAME:SEDARSAN)"
24385.1	"THYMOSEPTINE EX SERPOLINE"
24482.1	"ALOPATE"
24622.1	"LIDOCATON 2 %"
24631.1	"NEO-LIDOCATON"
24692.1	"GAMMADYN POTASSIUM"
24701.1	"GAMMADYN PHOSPHORE"
24726.1	"GAMMADYN FLUOR"
24997.1	"GAMMADYN IODE"
25566.1	"CEDOCARD 5 MG"
26975.1	"GESTIFERROL(EX ANTIANEMISCHE TABLETTEN)"
27657.1	"KELARGINE 4 MG"
27806.1	"URFAMYCINE 250 MG"
27824.1	"URFAMYCINE 500 MG"
27885.1	"LYSOMUCIL 20 (LN.FLUIMUCIL 20)"
27894.1	"LYSOMUCIL 10% (LN. FLUIMUCIL)"
27912.1	"FLUIMUCIL ANTIBIOTIC"
27921.1	"URFAMYCINE 750"
27973.1	"PANOTILE"
28436.1	"FRUCTINES  (EX FRUCTINES VICHY)"
28567.1	"SULFARLEM S25 25MG"
28752.1	"VASELINE BORIQUEE 10 %"
28971.1	"TRANXENE 10MG"
28987.1	"TRANXENE 5MG"
29522.1	"VIBTIL"
30003.1	"SEDEMOL"
30152.1	"SULFA-SEDEMOL"
30694.1	"SOFRAMYCINE"
30703.1	"SOFRALINE (EX SOFRAMYCINE)"
30755.1	"HYDROCORTISONE ERFA"
30956.1	"SOFRASOLONE"
31561.1	"CODETHYLINE ERFA 5MG"
31823.1	"SYNTOCINON"
31936.1	"VISKEN"
31954.1	"SANDOZ CALCIUM"
33476.1	"ALDACTONE 25 MG"
33494.1	"CELESTONE"
33607.1	"CELESTONE 0
33625.1	"POLARAMINE 6 MG REPETABS"
33652.1	"POLARAMINE"
34212.1	"TRIHISTALEX"
35944.1	"SCANDONEST  3 %  SANS VASOCONSTRICTEUR"
35987.1	"SCANDONEST 2% SPECIALE EPINEPHRINE"
36005.1	"XYLONOR SPRAY"
36127.1	"XYLONOR NORADRENALINE 3%"
36617.1	"MUCO RHINATHIOL 2%(EX:RHINATHIOL MUCO)"
36811.1	"MUCO RHINATHIOL 5% (EX:RHINATHIOL MUCO)"
36836.1	"DOGMATIL 0
36845.1	"PRIMPERAN"
36872.1	"PRIMPERAN"
36897.1	"KESTOMATINE 250MG/500MG"
36906.1	"PRIMPERAN"
36951.1	"PRIMPERAN 10 MG"
37003.1	"PRIMPERAN 20 MG"
37107.1	"DOGMATIL 50MG"
37186.1	"DOGMATIL 200MG"
37301.1	"DOGMATIL 100MG/2ML"
38001.1	"LIQUIFILM TEARS"
38114.1	"PREDMYCINE P LIQUIFILM"
38647.1	"ANTABUSE400 MG"
38692.1	"ISOPTO-CARPINE 1%"
38717.1	"ISOPTO-CARPINE 2%"
38735.1	"ISOPTO-CARPINE 4%"
38744.1	"CHLORAMINE PURA"
38762.1	"ISOPTO-CETAMIDE  15%"
38787.1	"ISOPTO-CETAPRED"
38857.1	"MAXIDEX"
38884.1	"ZINCFRIN"
38893.1	"ISOPTO-ATROPINE 0
38902.1	"ISOPTO-ATROPINE 1%"
38911.1	"MAXITROL"
38945.1	"RHINATHIOL ANTIRHINITIS 10MG  4MG/10ML"
38963.1	"RHINATHIOL ANTIRHINITIS 10MG/4ML"
39225.1	"INHALO RHINATHIOL 99MG / 16MG/G"
39277.1	"PARANAUSINE"
39295.1	"PARANAUSINE FORTE"
39322.1	"VELOURS POUDRE"
39541.1	"PRURISEDINE"
39566.1	"MICROTRAST 70G/100G"
48851.1	"HYDREA 500 MG"
48885.1	"CORDARONE 200 MG"
48921.1	"NYSTATINE LABAZ I.E/ML"
48937.1	"REDOMEX DIFFUCAPS"
48946.1	"REDOMEX DIFFUCAPS"
48982.1	"ALBICORT 80 (LN.:ALBICORT 40)"
49007.1	"ALBICORT 40"
49061.1	"MYCOLOG"
43251.1	"FORTAL"
43416.1	"PLAQUENIL 200MG"
43434.1	"PANADOL 500 MG"
43513.1	"TRANSVANE"
43626.1	"PHOSPHOLINE IODIDE 0
43635.1	"LEVOPHED"
43705.1	"FORTAL"
43827.1	"KAYEXALATE CALCIUM 14
43976.1	"ISUPREL 0
43994.1	"KAYEXALATE CALCIUM 14
44055.1	"REPARIL"
44432.1	"MITOSYL"
44511.1	"CLOMID"
44572.1	"UROPYRINE"
58177.1	"IMURAN 50 MG"
58213.1	"LANOXIN"
58222.1	"EUSAPRIM 80MG/400MG"
58256.1	"EUSAPRIM 40MG/200MG/5ML"
58326.1	"LANOXIN EX LANOXIN P.G. ELIXIR"
58353.1	"ALKERAN"
58396.1	"DARAPRIM"
58414.1	"GLUCOPHAGE 500 MG"
58466.1	"GLUCOPHAGE 850"
58536.1	"KEMADRIN"
58563.1	"PURI-NETHOL 50 MG"
58615.1	"MYLERAN 2MG"
58843.1	"ZYLORIC 100 MG"
58965.1	"THE BLANC"
58983.1	"THE LOBERT"
45087.1	"ATARAX 10MG"
45096.1	"ATARAX 25MG"
45105.1	"ATARAX 100MG"
45857.1	"LONGIFENE"
45875.1	"LONGIFENE"
46444.1	"POSTAFENE 25 MG"
46837.1	"UCEMINE PP"
47153.1	"ESTRADURINE 80 MG"
47467.1	"MAALOX ANTACID 200 MG / 400 MG"
47476.1	"MAALOX ANTACID 220MG/380MG PER10ML"
47503.1	"NOOTROPIL 1 G/5ML"
47607.1	"HIRUDOID"
47677.1	"MOBILAT"
47756.1	"COSE-ANAL EX EPIANAL EX SCLERANAL"
47774.1	"COSE-ANAL EX EPIANAL EX SCLERANAL"
47783.1	"VITAMINE C - WILL PHARMA 500 MG"
47844.1	"RADO-SALIL"
47871.1	"TRIANAL 0
47914.1	"TRIANAL 0
47993.1	"ALBICORT 40"
48273.1	"ALBICORT 10"
48316.1	"DEPAKINE"
48377.1	"MYCOLOG"
48465.1	"REDOMEX 25 MG"
48693.1	"NOCERTONE"
48736.1	"REDOMEX 10 MG"
48824.1	"NEO-SABENYL"
50897.1	"DESFERAL 500 MG"
50915.1	"SYNACTHEN DEPOT 1 MG/ML"
51012.1	"LIORESAL 25 MG"
51021.1	"LIORESAL I0MG"
51073.1	"LOCASALEN"
51222.1	"SYNACTHEN 0
51283.1	"FENISTIL 1MG"
51335.1	"VENORUTON"
51344.1	"Z-FLUOR 0
51414.1	"LOCACORTENE   0
51511.1	"VENORUTON 300 MG"
51563.1	"FENISTIL 0.1%"
51597.1	"RILATINE"
51931.1	"SALAZOPYRINE"
52202.1	"SALAZOPYRINE E.C."
52342.1	"LOCOID 0
52351.1	"LOCOID 0
52367.1	"LOCOID 0
52482.1	"CITANEST 1%"
52507.1	"CITANEST 2%"
52561.1	"XYLOCAINE 5%"
52595.1	"XYLOCAINE GEL 2%"
52631.1	"XYLOCAINE 1%"
52735.1	"XYLOCAINE 2%"
52796.1	"XYLOCAINE SPRAY 10%"
52832.1	"XYLOCARD 100"
53313.1	"TEBRAZID 500 MG"
53392.1	"PANNOCORT (EX CORTIDERM 1%)"
54083.1	"PROLOPA 125 100 MG/25 MG (MADOPARI)"
54363.1	"EFUDIX"
54381.1	"MOGADON   ROCHE 5 MG"
54485.1	"LEXOTAN 3 MG"
54494.1	"LEXOTAN 6 MG"
54546.1	"VALIUM 10 MG"
54677.1	"MARCOUMAR"
54704.1	"MESTINON"
54713.1	"MESTINON 60 MG"
54774.1	"PROSTIGMINE 0
54783.1	"PROSTIGMINE 2
54835.1	"PROTOVIT"
54871.1	"VALIUM 10 MG / 2 ML"
54914.1	"PROTAMINE 1000"
55142.1	"BACTRIM"
55176.1	"BENERVA"
55221.1	"KONAKION 10MG/1ML"
61451.1	"SOLU-CORTEF 250 MG    ACT-O-VIAL"
61476.1	"SOLU-CORTEF 500 MG  ACT-O-VIAL"
61494.1	"SOLU-CORTEF 1000 MG  ACT-O-VIAL"
61521.1	"LINCOCIN 250 MG/5 ML"
61582.1	"SOLU-MEDROL   ACT-O-VIAL"
61643.1	"LINCOCIN 600 MG"
61731.1	"PROVERA"
61747.1	"SOLU-MEDROL 125 MG ACT-O-VIAL"
61765.1	"DALACIN C 150 MG"
61774.1	"LINCOCIN 600 MG"
61792.1	"TROBICIN 2G"
61801.1	"LINCOCIN 300 MG"
61826.1	"LINCOCIN 300 MG"
55264.1	"REDOXON 500MG MET CITROENSMAAK"
55361.1	"OLBAS"
55431.1	"CHLORAMPHENICOL (EX COLIRCUSI) 0
55535.1	"DE ICOL (EX COLIRCUSI)"
55693.1	"IODURE DE SODIUM (EX COLIRCUSI)"
55781.1	"PILO 2 (EX COLIRCUSI)"
55912.1	"ALCASOL"
56007.1	"ANAFRANIL 10 MG"
56016.1	"ANAFRANIL 25 MG"
56025.1	"ANAFRANIL 25 MG/2ML"
56061.1	"HEMERAN 1 %"
56296.1	"GLIBENESE  5 MG"
56454.1	"TERRAMYCINE + POLYMYXINE B"
56472.1	"TERRA-CORTRIL + POLYMIXINE B"
56585.1	"TERRAMYCINE + POLYMYXINE B"
56612.1	"TERRA-CORTRIL"
56831.1	"TERRA-CORTRIL + POLYMYXINE B"
56962.1	"DOXYNORD 10 MG/ML"
57197.1	"VISINE"
57583.1	"SINEQUAN 25MG"
57592.1	"SINEQUAN 50MG"
57845.1	"LOCABIOTAL"
58116.1	"BLEOMYCINE 15000I.E."
59001.1	"THE VICHY ARVA"
59017.1	"THE CANADIEN A LA SEVE DE PIN"
59044.1	"THE TENSOCURE"
59744.1	"CHLORAZOL"
78251.1	"MARCAINE 0
78267.1	"MARCAINE 0
78303.1	"DETTOLMEDICAL CHLOROXYLENOL 4
78364.1	"SENOKOT 7
78382.1	"SPAGULAX M"
78671.1	"HIBISCRUB 40 MG/ML (EX HIBICLENS)"
78741.1	"HIBITANE"
78802.1	"MEPHENON"
78872.1	"HOSPITAL ANTISEPTIC CONCENTRATE"
78881.1	"INDERAL 40 MG"
78897.1	"INDERAL 10 MG"
79021.1	"CETAVLEX
79037.1	"MYSOLINE"
82467.1	"TANALONE (LN.TANALINE;PECTALBINE)"
82512.1	"R-CALM 20MG/G EMULSIE CUTAAN GEBRUIK"
82573.1	"ALUCID"
83115.1	"MICROLUT"
83133.1	"AKINETON"
83194.1	"ISOPTINE 80MG"
83465.1	"PRIMOLUT-NOR  10MG"
83535.1	"ISOPTINE  40 MG"
84034.1	"PARACODINE  10 MG"
84052.1	"PARACODINE"
84217.1	"PROVIRON 25 MG"
84874.1	"NORIT CARBOMIX 50G EX.NORIT MEDICINAAL"
84883.1	"NORIT 250MG"
84935.1	"CLONAZONE 250 MG"
60286.1	"POLYSEPTOL"
60313.1	"RECTOVASOL"
60435.1	"VASOCEDINE NAPHAZOLINE"
61214.1	"MEDROL 4 MG"
61293.1	"DEPO-PROVERA 50MG/ML"
61302.1	"PROVERA"
61311.1	"SOLU-CORTEF 100 MG   ACT-O-VIAL"
61372.1	"MEDROL A 16 MG"
61433.1	"LINCOCIN  5OO MG"
61835.1	"DEPO-MEDROL  80MG/2ML"
61844.1	"DEPO-MEDROL 40MG/1ML"
61862.1	"DALACIN C"
61887.1	"DEPO-PROVERA 150MG"
61896.1	"DEPO-PROVERA 150MG"
61932.1	"DEPO-PROVERA 1000 MG"
61941.1	"DEPO-PROVERA 500 MG"
61993.1	"SOLU-MEDROL"
62002.1	"SOLU-MEDROL"
62133.1	"HEXTRIL SPRAY EX COLLU-HEXTRIL SPRAY"
62167.1	"HEXTRIL 0
63357.1	"ADRIBLASTINA   10"
79046.1	"PALUDRINE 100 MG"
79064.1	"HIBITANE ANTISEPTICUM LUBRIFICANS 1
79274.1	"BUCCALIN (EX: BERNA)"
80026.1	"AACIDEXAM"
80464.1	"FLOXAPEN 500 MG"
80543.1	"FLOXAPEN 250MG"
80552.1	"FLOXAPEN 500MG"
80561.1	"FLOXAPEN 1G"
80577.1	"CLAMOXYL 250MG/5ML"
80595.1	"CLAMOXYL 125 MG / 5 ML"
80604.1	"STAPHYCID (EX STAPHYLEX)"
82056.1	"NEUROBION"
82065.1	"NESIVINE 0
82153.1	"NESIVINE 0
63454.1	"STEROPOTASSIUM 1 G / 20 ML"
63682.1	"BETNELAN-V 0
63847.1	"GAMMADYN SOUFRE"
63856.1	"GAMMADYN MANGANESE-COBALT"
63865.1	"GAMMADYN MANGANESE"
63874.1	"GAMMADYN COBALT"
63883.1	"GAMMADYN MANGANESE-CUIVRE-COBALT"
63917.1	"GAMMADYN CUIVRE"
63944.1	"GAMMADYN MANGANESE-CUIVRE"
63987.1	"BETNESOL"
64014.1	"BETNESOL"
64041.1	"VENTOLIN"
64206.1	"VENTOLIN  2 MG"
64294.1	"VENTOLIN  100"
64303.1	"VENTOLIN 5 MG / 1 ML"
65037.1	"FERO-GRADUMET 525 MG"
65186.1	"FEROGRAD 500  (R)"
65195.1	"SELSUN 2
65414.1	"ERYTHROCINE INTRAVEINEUSE 1 G"
67401.1	"LASIX 20 MG/2ML"
67663.1	"LASIX 40 MG"
67837.1	"DAONIL 5 MG"
67952.1	"DOLANTINE"
67977.1	"NOVALGINE"
67986.1	"NOVALGINE"
67995.1	"NOVALGINE 500"
68792.1	"ALKA-SELTZER"
68862.1	"THE BONNE NUIT"
69386.1	"ELTHYRONE(LAST NAME:SYNTHROID 0
69395.1	"ELTHYRONE (LAST NAME:SYNTHROID 0
69404.1	"ELTHYRONE (LAST NAME:SYNTHROID 0
69781.1	"RIFADINE 150 MG"
69842.1	"RIFOCINE 500 I.V."
70296.1	"NICOTIBINE 300 MG"
70621.1	"ULTRA MG"
70917.1	"RIFADINE"
71127.1	"BETNELAN-V 0
71312.1	"BETNELAN-V    0
71513.1	"ULTRA-K 4680 MG/15 ML"
71687.1	"CANTABILINE"
71766.1	"BETASERC 8 MG"
71811.1	"BIFITERAL 66
71827.1	"DUSPATALIN 135"
71836.1	"DUPHALAC 66
71951.1	"DUPHASTON 10 MG"
72107.1	"PRE-PAR 50MG/5ML"
72125.1	"PRE-PAR  10 MG"
72606.1	"EUCALYTUX EX EUCALYPTOL"
72825.1	"NOSCAFLEX 15 MG"
73464.1	"EUPHYLLIN IV 200"
75311.1	"THERMO-CREAM"
75817.1	"FLUOR S.M.B"
75932.1	"AFEBRYL"
76964.1	"LEDERTREXATE  5 MG"
77025.1	"MINOCIN 100MG"
77034.1	"MYAMBUTOL  400MG"
77086.1	"NILSTAT 100.000UI/ML"
77104.1	"LEDERTREXATE  5 MG/2ML"
77682.1	"DIPYRIDAMOLE EG 150 MG (EX DIDAMOL) HM"
77865.1	"SANICOPYRINE KINDEREN"
77892.1	"SANICOPYRINE VOLWASSENEN"
77901.1	"SANIPULVINE"
77917.1	"SANICOPYRINE VOLWASSENEN"
77953.1	"SANICOPYRINE BABY"
78136.1	"SCANDICAINE 2 %"
78145.1	"SCANDICAINE 1 %"
78172.1	"MARCAINE 0
78206.1	"MARCAINE 0
84953.1	"CLONAZONE 250 MG"
85154.1	"KEFORAL"
85355.1	"SINTROM 1 EX SINTROM 1 MITIS"
85434.1	"CELOCURINE"
85443.1	"CELOCURINE"
85592.1	"TOFRANIL 10 MG"
85617.1	"TEGRETOL 200MG"
85863.1	"ACENTERINE 500  MG"
85985.1	"MITOMYCINE-C KYOWA (EX MITOMYCINE)"
86204.1	"TOFRANIL 25 MG"
86326.1	"SICOMBYL 5%"
86371.1	"STRUMAZOL 10 MG"
86685.1	"SINTROM 4"
86737.1	"PRUNASINE"
87087.1	"PERIACTIN 4 MG"
87132.1	"ALDOMET  250 MG"
87211.1	"MODURETIC"
88794.1	"THE TENSIFAL"
88803.1	"MEGRIFAL"
92346.1	"SOLDACTONE 200 MG"
92434.1	"ANDROCUR 50 MG"
92775.1	"DEPAKINE ENTERIC 300 MG"
92897.1	"KEFZOL 1G"
93021.1	"UNI-TRANXENE (LAST NAME TRANXENE)"
93125.1	"VENTOLIN 4MG"
93466.1	"GAMMADYN LITHIUM"
93475.1	"GAMMADYN MAGNESIUM"
93615.1	"STUGERON"
93651.1	"TRANXENE INJECTABLE IV 100MG"
93667.1	"TRANXENE INJECTABLE IV 20 MG"
93685.1	"TRANXENE INJECTABLE IV 50 MG"
97045.1	"FLUORESCEINE SODIQUE 2%"
97097.1	"CYCLOPENTOLATE CHLORHYDRATE 0
97133.1	"PHENYLEPHRINE CHLORHYDRATE  10%"
97142.1	"OXYBUPROCAINE CHLORHYDRATE 0
97167.1	"CHLORHYDRATE DE TETRACAINE MINIMS 1 %"
97282.1	"NOOTROPIL   3 G/15 ML"
97291.1	"NOOTROPIL 800 MG"
97307.1	"DIPIPERON 40 MG/ML"
97447.1	"NATRIUMCHLORIDE 0
97456.1	"GLUCOSE 5 % KABIPAC"
97587.1	"NYSTATINE LABAZ 100000 I.E/G"
98192.1	"GLUCOSE 5 % BAXTER"
98201.1	"GLUCOSE 5 % BAXTER"
98217.1	"GLUCOSE 5% BAXTER"
98226.1	"CHLORURE DE SODIUM 0
98235.1	"CHLORURE DE SODIUM 0
98244.1	"CHLORURE DE SODIUM 0
98314.1	"GLUCOSE 5% + NACL 0
98402.1	"UROGRAFINE 30%"
98551.1	"GLUCOSE 5 % KABIPAC"
98567.1	"NATRIUMCHLORIDE 0
98646.1	"KALI - STEROP 2 G/10 ML"
93694.1	"KALI - STEROP 3 G/10 ML"
93746.1	"FLAMMAZINE 1% CREME 50 G"
94351.1	"HIRUDOID"
