"","cti","ActSubst.Name","unit","dosis","DateNew"
"101",8041,"TRANEXAMIC ACID","MG","250.00",""
"102",8057,"TRANEXAMIC ACID","MG","500.00",""
"103",8574,"HEXAMIDINE DIISETIONATE","MG/ML","1.00",""
"104",8723,"CLOTIAPINE","MG","40.00",""
"105",9152,"OXYBUPROCAINE HYDROCHLORIDE","MG/ML","4.00",""
"106",9423,"PROTHIPENDYL HYDROCHLORIDE","MG","80.00",""
"107",9511,"ASIATICUM ACIDUM","MG/G","4.00",""
"108",9703,"ALIMEMAZINUM PR EXPRESS QUANTITATIVE","MG/ML","40.00",""
"109",9965,"BENZALKONIUM CHLORIDE","MG/G","500.00",""
"110",9983,"MERBROMIN","MG/G","20.00",""
"111",9992,"MERBROMIN","MG/G","20.00",""
"112",10017,"ACETIC ACID","MG/ML","79.80",""
"113",10017,"GREATER CELANDINE","MG/ML","44.90",""
"114",10017,"LACTIC ACID","MG/ML","20.00",""
"115",10017,"SALICYLIC ACID","MG/ML","134.70",""
"116",10017,"THUJA OCCIDENTALIS (TINCTUR)","MG/ML","44.90",""
"117",10114,"METHOXSALEN","MG","10.00",""
"118",10412,"KALII GLUCONAS","MCG/ML","120.00",""
"119",10412,"NITROGEN","","Q.S.",""
"120",10421,"NITROGEN","","Q.S.",""
"121",10421,"SODIUM (DI) PHOSPATE","MCG/ML","70.00",""
"122",10446,"COBALTI GLUCONAS","MCG/ML","277.00",""
"123",10446,"GLUCONAS CU","MCG/ML","259.00",""
"124",10446,"MANGANI GLUCONAS","MCG/ML","295.00",""
"125",10446,"NITROGEN","","Q.S.",""
"126",10455,"GLUCONAS CU","MCG/ML","259.00",""
"127",10455,"MANGANI GLUCONAS","MCG/ML","295.00",""
"128",10455,"NITROGEN","","Q.S.",""
"129",10464,"COBALTI GLUCONAS","MCG/ML","277.00",""
"130",10464,"MANGANI GLUCONAS","MCG/ML","295.00",""
"131",10464,"NITROGEN","","Q.S.",""
"132",10473,"MANGANI GLUCONAS","MCG/ML","295.00",""
"133",10473,"NITROGEN","","Q.S.",""
"134",10482,"MAGNESIUM GLUCONATE","MCG/ML","890.00",""
"135",10482,"NITROGEN","","Q.S.",""
"136",10491,"LITHII GLUCONAS","MCG/ML","4070.00",""
"137",10491,"NITROGEN","","Q.S.",""
"138",10507,"IODINE","MCG/ML","12.00",""
"139",10507,"NITROGEN","","Q.S.",""
"140",10516,"NITROGEN","","Q.S.",""
"141",10516,"SODIUM FLUORIDE","MCG/ML","221.00",""
"142",10534,"NITROGEN","","Q.S.",""
"143",10534,"ZINC GLUCONATE","MCG/ML","235.00",""
"144",10543,"SODIUM THIOSULFATE","MG/ML","0.15",""
"145",10552,"COBALTI GLUCONAS","MCG/ML","277.00",""
"146",10552,"NICCOLI GLUCONAS","MCG/ML","278.00",""
"147",10552,"NITROGEN","","Q.S.",""
"148",10552,"ZINC GLUCONATE","MCG/ML","235.00",""
"149",10561,"GLUCONAS CU","MCG/ML","259.00",""
"150",10561,"NITROGEN","","Q.S.",""
"151",10561,"ZINC GLUCONATE","MCG/ML","235.00",""
"152",10577,"GLUCONAS CU","MG/ML","2.59",""
"153",10577,"NITROGEN","","Q.S.",""
"154",10586,"COBALTI GLUCONAS","MCG/ML","225.00",""
"155",10586,"NITROGEN","","Q.S.",""
"156",10805,"GLIBENCLAMIDE","MG","5.00",""
"157",10902,"NANDROLONE DECANOATE","MG","25.00",""
"158",11216,"LYNESTRENOL","MG","5.00",""
"159",11313,"NANDROLONE DECANOATE","MG","25.00",""
"160",11541,"GONADOTROPHIN CHORIONIC (HCG)","UI","1500.00",""
"161",11557,"GONADOTROPHIN CHORIONIC (HCG)","UI","5000.00",""
"162",12686,"ESTRIOL","MG","2.00",""
"163",12704,"TESTOSTERONE DECANOAS","MG","100.00",""
"164",12704,"TESTOSTERONE ISOCAPROAS","MG","60.00",""
"165",12704,"TESTOSTERONE PHENYLPROPIONAS","MG","60.00",""
"166",12704,"TESTOSTERONE PROPIONATE","MG","30.00",""
"167",13535,"SODIUM (DI) PHOSPATE","MG/ML","60.00",""
"168",13535,"SODIUM (MONO) PHOSPHATE","MG/ML","160.00",""
"169",13562,"SODIUM (DI) PHOSPATE","MG/ML","60.00",""
"170",13562,"SODIUM (MONO) PHOSPHATE","MG/ML","160.00",""
"171",13587,"HEPARIN SODIUM","UI/ML","5000.00",""
"172",13641,"FUSIDATE SODIUM","MG/G","20.00",""
"173",14357,"GUAIFENESIN","MG/ML","6.66",""
"174",14357,"NOSCAPINE HYDROCHLORIDE","MG/ML","1.00",""
"175",14436,"THIAMINE HYDROCHLORIDE","MG","474.50",""
"176",14515,"LITHIUM CARBONATE","MG","250.00",""
"177",14542,"ASCORBIC ACID","MG","500.00",""
"178",14682,"FUSIDATE SODIUM","MG/G","20.00",""
"179",15136,"PYRIDOXINE HYDROCHLORIDE","MG","250.00",""
"180",15136,"THIAMINE HYDROCHLORIDE","MG","237.20",""
"181",15337,"FLUPENTIXOL DECANOATE","MG","20.00",""
"182",15346,"NORTRIPTYLINE HYDROCHLORIDE","MG","28.49",""
"183",15391,"FLUPENTIXOL DECANOATE","MG","40.00",""
"184",15495,"FLUPENTIXOL HYDROCHLORIDE","MG","0.50",""
"185",15495,"MELITRACENUM","MG","10.00",""
"186",15601,"FLUPENTIXOL HYDROCHLORIDE","MG","1.16",""
"187",15687,"CAMPHORA SYNTHETICA","MG","156.00",""
"188",15687,"EUCALYPTOL","MG","120.00",""
"189",15687,"GUAIACOL","MG","50.00",""
"190",15687,"PHENOL","MG","10.00",""
"191",15687,"PHOLCODINE","MG","10.00",""
"192",15696,"CAMPHORA SYNTHETICA","MG","100.00",""
"193",15696,"EUCALYPTOL","MG","80.00",""
"194",15696,"GUAIACOL","MG","30.00",""
"195",15696,"PHENOL","MG","6.00",""
"196",15696,"PHOLCODINE","MG","5.00",""
"197",15854,"EUCALYPTOL","MG","0.45",""
"198",15854,"GUAIACOL","MCG","16.00",""
"199",15854,"MENTHOL","MG","3.28",""
"200",15854,"TERPINOLUM","MCG","16.00",""
"201",15854,"THYMOL","MCG","16.00",""
"202",15915,"GLIPIZIDE","MG","5.00",""
"203",15924,"BISACODYL","MG","10.00",""
"204",15933,"ARCHANGELICA OFFICINALIS","MG/G","150.00",""
"205",15933,"CHEIRANTHUS CHEIRI (GIROFLEE)","MG/G","1.50",""
"206",15933,"CINNAMON (BARK)","MG/G","1.50",""
"207",15933,"CORIANDRUM SATIVUM (FRUCTUS)","MG/G","1.50",""
"208",15933,"LEMON OIL","MG/G","80.00",""
"209",15933,"MELISSA OFFICINALIS (FOLIA)","MG/G","650.00",""
"210",15933,"MYRISTICA (SEMEN,BUTYR.,AETHEROL.)","MG/G","1.50",""
"211",15933,"SISYMBRIUM NASTURTIUM","MG/G","60.00",""
"212",16037,"LYMECYCLINE","MG","300.00",""
"213",16256,"XYLOLUM","MG/ML","50.00",""
"214",16484,"STERCULIA (GUM)","MG/G","600.00",""
"215",16597,"ACTIVATED CHARCOAL","MG","300.00",""
"216",16597,"MAGNESIUM CITRATE","MG","20.00",""
"217",16597,"METHENAMINE","MG","40.00",""
"218",16633,"ACTIVATED CHARCOAL","MG/G","150.00",""
"219",16633,"MAGNESIUM CITRATE","MG/G","10.00",""
"220",16633,"METHENAMINE","MG/G","20.00",""
"221",16694,"LACTIC ACID","MG/G","5.00",""
"222",17096,"MERBROMIN","MG/G","20.00",""
"223",17114,"MERBROMIN","MG/ML","20.00",""
"224",17166,"CAMPHORA MONOBROMATA","MG","20.00",""
"225",17166,"MALVAE FRUCTUS PULVIS","MG","250.00",""
"226",17166,"METHENAMINE","MG","50.00",""
"227",17193,"NIMORAZOLE","MG","250.00",""
"228",17211,"PATENT BLUE V","MG","50.00",""
"229",17227,"LAUROMACROGOL 400","MG","10.00",""
"230",17351,"LAUROMACROGOL 400","MG","40.00",""
"231",17367,"LAUROMACROGOL 400","MG","20.00",""
"232",17376,"LAUROMACROGOL 400","MG","60.00",""
"233",17437,"IOXITALAMATE MEGLUMINE","MG/ML","660.00",""
"234",17446,"IOXITALAMATE MEGLUMINE","MG","66030.00",""
"235",17613,"IODUM PR EXPRESS QUANTITATIVE","MG","2320.00",""
"236",18103,"WARFARIN SODIUM","MG","5.00",""
"237",18322,"CASCARA SAGRADA EXTRACT","MG","20.00",""
"238",18322,"PHENOBARBITAL","MG","100.00",""
"239",18322,"PHENYTOIN","MG","100.00",""
"240",18514,"CALAMUS AROMATICUS (RHIZOMA)","MG","1.00",""
"241",18514,"CASCARA SAGRADA EXTRACT","MG","7.26",""
"242",18514,"CINNAMON (BARK)","MG","20.00",""
"243",18514,"CONDURANGO MARSDENIA (EXT. FLUID)","MG","2.20",""
"244",18514,"CONVALLARIA MAJALIS (MUGUET)","MG","0.40",""
"245",18514,"HAMAMELIDIS (EXTRACTA, AQUA, TINCTURA)","MG","16.00",""
"246",18514,"PIMPINELLA ANISUM FRUCTUS","MG","24.00",""
"247",18514,"PISCIDIA ERYTHRINA","MG","0.22",""
"248",18514,"STRYCHNOS NUX VOMICA (EXTRACT,TINCT,PULV)","MG","0.35",""
"249",18514,"TANACETUM VULGARE (HERBA ET FLOS)","MG","0.70",""
"250",18514,"VIBURNUM PRUNIFOLIUM","MG","1.68",""
"251",18523,"ANETHOLUM","MG/G","0.40",""
"252",18523,"CALAMUS AROMATICUS (RHIZOMA)","MG/G","0.63",""
"253",18523,"CALCII PHOSPHAS ACIDUM","MG/G","0.48",""
"254",18523,"CASCARA SAGRADA EXTRACT","MG/G","4.40",""
"255",18523,"CINNAMON (BARK)","MG/G","0.20",""
"256",18523,"CONDURANGO MARSDENIA (EXT. FLUID)","MG/G","1.68",""
"257",18523,"CONVALLARIA MAJALIS (MUGUET)","MG/G","0.22",""
"258",18523,"HAMAMELIDIS (EXTRACTA, AQUA, TINCTURA)","MG/G","22.25",""
"259",18523,"IODINE","MG/G","0.27",""
"260",18523,"PISCIDIA ERYTHRINA","MG/G","0.13",""
"261",18523,"STRYCHNOS NUX VOMICA (EXTRACT,TINCT,PULV)","MG/G","0.21",""
"262",18523,"TANACETUM VULGARE (HERBA ET FLOS)","MG/G","0.60",""
"263",18523,"TANNIC ACID","MG/G","0.60",""
"264",18523,"VIBURNUM PRUNIFOLIUM","MG/G","8.40",""
"265",18724,"PAROMOMYCIN (SULFATE)","MG","250.00",""
"266",19205,"MELISSA OFFICINALIS (FOLIA)","LAML","15.00",""
"267",19205,"NAPHAZOLINE NITRATE","MG/ML","1.00",""
"268",19293,"PHENYTOIN SODIUM","MG","100.00",""
"269",20027,"ACONIT TINCT.","MG/ML","6.70",""
"270",20027,"BELLADONNAE TINCTURA","MG/ML","6.70",""
"271",20027,"CAPILLI VENERIS HERBA","LAML","7.20",""
"272",20027,"DROSERA ROTUNDIFOLIA","LAML","7.20",""
"273",20027,"ETHYLMORPHINE HYDROCHLORIDE","MG/ML","0.54",""
"274",20027,"POLYGALA SENEGA (TINCTURA ET EXTR. FLUIDUM)","LAML","7.20",""
"275",20027,"SULFOGAIACOL","MG/ML","26.00",""
"276",20842,"TRAMAZOLINE HYDROCHLORIDE","MG/ML","1.18",""
"277",20921,"ETILEFRINE HYDROCHLORIDE","MG","5.00",""
"278",20946,"ETILEFRINE HYDROCHLORIDE","MG/G","7.50",""
"279",20982,"BISACODYL","MG","5.00",""
"280",20991,"PHENYLEPHRINE HYDROCHLORIDE","MG/ML","1.25",""
"281",21025,"BISACODYL","MG","10.00",""
"282",21174,"HYOSCINE BUTYLBROMIDE","MG","20.00",""
"283",21183,"HYOSCINE BUTYLBROMIDE","MG","10.00",""
"284",21192,"HYOSCINE BUTYLBROMIDE","MG","10.00",""
"285",21201,"HYOSCINE BUTYLBROMIDE","MG","20.00",""
"286",21201,"METAMIZOLE SODIUM","MG","2500.00",""
"287",21305,"BROMHEXINE HYDROCHLORIDE","MG/G","2.00",""
"288",21341,"DIPYRIDAMOLE","MG","75.00",""
"289",21357,"CLONIDINE HYDROCHLORIDE","MG","0.15",""
"290",21393,"SODIUM PICOSULFATE","MG/ML","7.50",""
"291",21402,"CLONIDINE HYDROCHLORIDE","MG","0.15",""
"292",21804,"ACORUS CALAMUS","MG/G","100.00",""
"293",21804,"ALOES","MG/G","100.00",""
"294",21804,"BIRCH TAR","MG/G","40.00",""
"295",21804,"CURCUMA LONGA","MG/G","60.00",""
"296",21804,"FRANGULAE CORTICIS EXTRACTUM","MG/G","100.00",""
"297",21804,"GENTIAN","MG/G","100.00",""
"298",21804,"GLYCYRRHIZAE (RADIX)","MG/G","60.00",""
"299",21804,"LEMON OIL","MG/G","60.00",""
"300",21804,"ONONIS SPINOSA (BUGRANE)","MG/G","100.00",""
"301",21804,"PARSLEY SATIVUM","MG/G","60.00",""
"302",21804,"PTEROCARPUS SANTALINUS VEL INDICUS (LIGNUM)","MG/G","60.00",""
"303",21804,"SALIX ALBA","MG/G","60.00",""
"304",21804,"SOLANUM DULCAMARA","MG/G","100.00",""
"305",21813,"ACHILLEA MILLEFOLIUM (HERBA)","MG/G","75.33",""
"306",21813,"BIRCH TAR","MG/G","111.33",""
"307",21813,"FRANGULAE CORTICIS EXTRACTUM","MG/G","111.33",""
"308",21813,"GLYCYRRHIZAE (RADIX)","MG/G","74.66",""
"309",21813,"PEPPERMINT LEAF","MG/G","94.66",""
"310",21813,"PHASEOLI FRUCTUS SINE SEMINE","MG/G","41.33",""
"311",21813,"PTEROCARPUS SANTALINUS VEL INDICUS (LIGNUM)","MG/G","30.93",""
"312",21813,"SENNA (LEAF)","MG/G","382.66",""
"313",21813,"URTICA (ROOT)","MG/G","35.33",""
"314",21822,"ACHILLEA MILLEFOLIUM (HERBA)","MG/G","47.85",""
"315",21822,"BIRCH TAR","MG/G","187.14",""
"316",21822,"EQUISETUM ARVENSE","MG/G","81.42",""
"317",21822,"FRANGULAE CORTICIS EXTRACTUM","MG/G","76.42",""
"318",21822,"GLYCYRRHIZAE (RADIX)","MG/G","76.42",""
"319",21822,"PEPPERMINT LEAF","MG/G","91.42",""
"320",21822,"PHASEOLI FRUCTUS SINE SEMINE","MG/G","123.42",""
"321",21822,"PTEROCARPUS SANTALINUS VEL INDICUS (LIGNUM)","MG/G","33.28",""
"322",21822,"SENNA (LEAF)","MG/G","193.28",""
"323",21822,"URTICA (ROOT)","MG/G","47.85",""
"324",21831,"ALTHAEA FLOS ET RADIX","MG/G","211.53",""
"325",21831,"ALTHAEA ROSEA","MG/G","15.09",""
"326",21831,"GLYCYRRHIZAE (RADIX)","MG/G","82.30",""
"327",21831,"ICELAND MOSS","MG/G","133.07",""
"328",21831,"ILEX AQUIFOLIUM (HOUX-HULST)","MG/G","71.53",""
"329",21831,"IRIDIS RHIZOMA","MG/G","40.76",""
"330",21831,"PAPAVERIS FRUCTUS","MG/G","150.00",""
"331",21831,"PLANTAGO MAJOR","MG/G","51.53",""
"332",21831,"PRIMULA VERIS VEL OFFICINALE","MG/G","5.53",""
"333",21831,"RED-POPPY PETAL","MG/G","20.61",""
"334",21831,"TUSSILAGO FARFARA","MG/G","143.07",""
"335",21847,"ACHILLEA MILLEFOLIUM (HERBA)","MG/G","78.46",""
"336",21847,"CRATAEGUS OXYACANTHA","MG/G","140.00",""
"337",21847,"ERICA VULGARIS","MG/G","50.76",""
"338",21847,"HUMULUS LUPULUS","MG/G","51.53",""
"339",21847,"LAVANDULA VERA (FLOS)","MG/G","25.38",""
"340",21847,"PAPAVERIS FRUCTUS","MG/G","15.00",""
"341",21847,"PEPPERMINT LEAF","MG/G","133.07",""
"342",21847,"SAGE (LEAF)","MG/G","63.07",""
"343",21847,"TORMENYIL ANSERINA","MG/G","78.46",""
"344",21847,"VALERIANAE OFFICINALIS (RADIX)","MG/G","186.15",""
"345",21856,"BEARBERRY","MG/G","115.71",""
"346",21856,"BIRCH TAR","MG/G","3.35",""
"347",21856,"EQUISETUM ARVENSE","MG/G","76.42",""
"348",21856,"ERICA VULGARIS","MG/G","33.57",""
"349",21856,"HERNIARIA GLABRA","MG/G","110.00",""
"350",21856,"ONONIS SPINOSA (BUGRANE)","MG/G","76.42",""
"351",21856,"PARSLEY SATIVUM","MG/G","42.85",""
"352",21856,"PHASEOLI FRUCTUS SINE SEMINE","MG/G","67.14",""
"353",21856,"PTEROCARPUS SANTALINUS VEL INDICUS (LIGNUM)","MG/G","47.14",""
"354",21856,"SOLIDAGO","MG/G","3.35",""
"355",21856,"SPIRAEA ULMARIA (FLORES)","MG/G","92.85",""
"356",21865,"ACHILLEA MILLEFOLIUM (HERBA)","MG/G","83.08",""
"357",21865,"AGRIMONY","MG/G","78.67",""
"358",21865,"BARBERRY","MG/G","34.55",""
"359",21865,"BIRCH TAR","MG/G","75.00",""
"360",21865,"BOLDO","MG/G","78.67",""
"361",21865,"CURCUMA LONGA","MG/G","78.67",""
"362",21865,"GREATER CELANDINE","MG/G","49.26",""
"363",21865,"MARRUBIUM VULGARE","MG/G","75.00",""
"364",21865,"PEPPERMINT LEAF","MG/G","166.91",""
"365",21865,"SENNA (LEAF)","MG/G","122.05",""
"366",21865,"TARAXACUM (HERBA)","MG/G","122.05",""
"367",21874,"ACHILLEA MILLEFOLIUM (HERBA)","MG/G","78.46",""
"368",21874,"ACORUS CALAMUS","MG/G","51.53",""
"369",21874,"CHAMOMILE","MG/G","20.76",""
"370",21874,"CNICUS BENEDICTUS","MG/G","40.76",""
"371",21874,"GENTIAN","MG/G","46.15",""
"372",21874,"ILEX AQUIFOLIUM (HOUX-HULST)","MG/G","32.30",""
"373",21874,"MARRUBIUM VULGARE","MG/G","153.84",""
"374",21874,"PEPPERMINT LEAF","MG/G","179.23",""
"375",21874,"TARAXACUM (HERBA)","MG/G","153.84",""
"376",21874,"TORMENYIL ANSERINA","MG/G","51.53",""
"377",21874,"URTICA (ROOT)","MG/G","148.46",""
"378",21883,"ACHILLEA MILLEFOLIUM (HERBA)","MG/G","41.33",""
"379",21883,"BIRCH TAR","MG/G","143.33",""
"380",21883,"CRATAEGUS OXYACANTHA","MG/G","200.00",""
"381",21883,"EQUISETUM ARVENSE","MG/G","155.33",""
"382",21883,"FUCUS VESICULOSUS (EXTRACTA FLUIDUM ET SICCUM)","MG/G","155.33",""
"383",21883,"MISTLETOE","MG/G","155.33",""
"384",21883,"PHASEOLI FRUCTUS SINE SEMINE","MG/G","41.33",""
"385",21883,"SENNA (LEAF)","MG/G","35.33",""
"386",21883,"VALERIANAE OFFICINALIS (RADIX)","MG/G","41.33",""
"387",21892,"BIRCH TAR","MG/G","222.00",""
"388",21892,"FUCUS VESICULOSUS (EXTRACTA FLUIDUM ET SICCUM)","MG/G","111.33",""
"389",21892,"ONONIS SPINOSA (BUGRANE)","MG/G","81.33",""
"390",21892,"PARSLEY SATIVUM","MG/G","22.00",""
"391",21892,"PEPPERMINT LEAF","MG/G","81.33",""
"392",21892,"PHASEOLI FRUCTUS SINE SEMINE","MG/G","44.66",""
"393",21892,"PTEROCARPUS SANTALINUS VEL INDICUS (LIGNUM)","MG/G","22.00",""
"394",21892,"SENNA (LEAF)","MG/G","308.00",""
"395",21892,"SPIRAEA ULMARIA (FLORES)","MG/G","81.33",""
"396",21901,"ACHILLEA MILLEFOLIUM (HERBA)","MG/G","123.07",""
"397",21901,"BURSA-PASTORIS CAPSELLA","MG/G","76.92",""
"398",21901,"CHAMOMILE","MG/G","40.76",""
"399",21901,"FRANGULAE CORTICIS EXTRACTUM","MG/G","76.92",""
"400",21901,"GLYCYRRHIZAE (RADIX)","MG/G","76.92",""
"401",21901,"HAMAMELIDIS (EXTRACTA, AQUA, TINCTURA)","MG/G","153.84",""
"402",21901,"MISTLETOE","MG/G","107.69",""
"403",21901,"SENNA (LEAF)","MG/G","153.84",""
"404",21901,"TARAXACUM (HERBA)","MG/G","76.92",""
"405",21901,"URTICA (ROOT)","MG/G","76.92",""
"406",21917,"BIRCH TAR","MG/G","338.40",""
"407",21917,"CENTAUREA CYANUS","MG/G","113.84",""
"408",21917,"EQUISETUM ARVENSE","MG/G","66.15",""
"409",21917,"ONONIS SPINOSA (BUGRANE)","MG/G","92.30",""
"410",21917,"PHASEOLI FRUCTUS SINE SEMINE","MG/G","92.30",""
"411",21917,"PTEROCARPUS SANTALINUS VEL INDICUS (LIGNUM)","MG/G","30.70",""
"412",21917,"SENNA (LEAF)","MG/G","76.92",""
"413",21917,"SOLANUM DULCAMARA","MG/G","76.92",""
"414",21917,"SOLIDAGO","MG/G","76.92",""
"415",21926,"BIRCH TAR","MG/G","76.90",""
"416",21926,"BOLDO","MG/G","76.90",""
"417",21926,"GALEGA OFFICINALIS","MG/G","117.69",""
"418",21926,"PHASEOLI FRUCTUS SINE SEMINE","MG/G","194.61",""
"419",21926,"SENNA (LEAF)","MG/G","76.90",""
"420",21926,"TARAXACUM (HERBA)","MG/G","153.84",""
"421",21926,"URTICA (ROOT)","MG/G","153.84",""
"422",21926,"VACCINIUM VITIS-IDOEA","MG/G","113.07",""
"423",21944,"ALTHAEA FLOS ET RADIX","MG/G","80.71",""
"424",21944,"EQUISETUM ARVENSE","MG/G","228.57",""
"425",21944,"GALEOPSIS OCHROLEUCA","MG/G","76.42",""
